#code,NPTGCode,lines,lon,lat,name
EUS,9400ZZLUEUS1,NV,-0.13328971879932,51.52859626089940,Euston,Euston Station
ESQ,9400ZZLUESQ1,MH,-0.13583614069432,51.52556100601610,Euston Square
FLP,9400ZZLUFLP1,C,0.09092922619115,51.59568093186100,Fairlop
FAR,9400ZZLUFCN1,MH,-0.10506525423688,51.52044475493070,Farringdon
FYC,9400ZZLUFYC1,N,-0.19244710707211,51.60097642078520,Finchley Central,Central Finchley
FRD,9400ZZLUFYR1,MJ,-0.18049417591581,51.54706483433670,Finchley Road
FPK,9400ZZLUFPK1,PV,-0.10651210028216,51.56440164848450,Finsbury Park
FBY,9400ZZLUFBY1,D,-0.19495684460322,51.48052978429810,Fulham Broadway
GHL,9400ZZLUGTH1,C,0.06611553398291,51.57648754803150,Gants Hill
GRD,9400ZZLUGTR1,DPH,-0.18298952648290,51.49423978391640,Gloucester Road
GGR,9400ZZLUGGN1,N,-0.19399326125223,51.57222139323280,Golders Green
GST,9400ZZLUGDG1,N,-0.13466215209239,51.52042499604550,Goodge Street
GRH,9400ZZLUGGH1,C,0.09214640724270,51.61334985780140,Grange Hill
GPS,9400ZZLUGPS1,MH,-0.14395608644737,51.52372031462880,Great Portland Street
GPK,9400ZZLUGPK1,PVJ,-0.14292742220787,51.50685010850230,Green Park
GFD,9400ZZLUGFD1,C,-0.34644414656746,51.54230202675910,Greenford
GUN,9400ZZLUGBY1,D,-0.27517503479566,51.49179310432600,Gunnersbury
HAI,9400ZZLUHLT1,C,0.09311901404450,51.60372721797820,Hainault
HMS,9400ZZLUHSC1,H,-0.22493007106495,51.49349777200650,Hammersmith
HMD,9400ZZLUHSD1,DP,-0.22240173052421,51.49256907974890,Hammersmith (District and Picc)
HMP,9400ZZLUHTD1,N,-0.17821976292476,51.55668847626440,Hampstead
HLN,9400ZZLUHGR1,C,-0.29300752262070,51.53000640358800,Hanger Lane
HSD,9400ZZLUHSN1,B,-0.25750275515493,51.53619291015470,Harlesden
HAW,9400ZZLUHAW1,B,-0.33523116624164,51.59220882796480,Harrow & Wealdstone,Harrow and Wealdstone
HOH,9400ZZLUHOH1,M,-0.33701590425683,51.57932886728110,Harrow on the Hill,Harrow-on-the-Hill
HTX,9400ZZLUHNX1,P,-0.42340934945466,51.46661417346270,Hatton Cross
HRF,9400ZZLUHR4,P,-0.44605876697794,51.45855310409200,Heathrow Terminal 4
HRV,9400ZZLUHR51,P,-0.488,51.4723,Heathrow Terminal 5
HRC,9400ZZLUHRC1,P,-0.45243913096168,51.47121921006040,Heathrow Terminals 123
HND,9400ZZLUHCL1,N,-0.22649620780329,51.58329383007200,Hendon Central
HBT,9400ZZLUHBT1,N,-0.19475102194752,51.65060117058850,High Barnet
HST,9400ZZLUHSK1,DH,-0.19250313559081,51.50067342026320,High Street Kensington
HBY,9400ZZLUHAI1,V,-0.10396423878498,51.54622949173780,Highbury & Islington
HIG,9400ZZLUHGT1,N,-0.14663842256113,51.57759782961870,Highgate
HDN,9400ZZLUHGD1,MP,-0.44992629566186,51.55371684457090,Hillingdon
HOL,9400ZZLUHBN1,CP,-0.12000884924483,51.51743878307590,Holborn
HPK,9400ZZLUHPK1,C,-0.20572867274977,51.50733404315060,Holland Park
HRD,9400ZZLUHWY1,P,-0.11292563253915,51.55275053787860,Holloway Road
HCH,9400ZZLUHCH1,D,0.21901898670793,51.55400525600630,Hornchurch
HNC,9400ZZLUHWC1,P,-0.36692242031907,51.47108330036540,Hounslow Central
